"RefDes","Value","Name","Manufacturer","Quantity","Datasheet"
"C1","10uF","CAP_0805","","1",""
"C2","0.1uF","CAP_0805","","1",""
"C3","10uF","CAP_0805","","1",""
"C4","0.1uF","CAP_0805","","1",""
"C5","10uF","CAP_0805","","1",""
"J1","","raspberry_pi_zero/2/3","","1",""
"L1","330ohm @ 100MHz BLM21PG331SN1D","IND_0805","Murata","1",""
"R1","33 ohm 1%","RES_0805","","1",""
"R2","33 ohm 1%","RES_0805","","1",""
"R3","33 ohm 1%","RES_0805","","1",""
"R4","33 ohm 1%","RES_0805","","1",""
"R5","33 ohm 1%","RES_0805","","1",""
"R6","33 ohm 1%","RES_0805","","1",""
"R7","0 ohm DNP","RES_0805","","1",""
"R8","100K","RES_0805","","1",""
"R9","10K","RES_0805","","1",""
"R10","0 ohm DNP","RES_0805","","1",""
"R11","0 ohm DNP","RES_0805","","1",""
"R12","0 ohm DNP","RES_0805","","1",""
"S1","","B3U-1000P","OMRON","1","http://datasheets.diptrace.com/switches/B3U_1110.pdf"
"U1","","ESP-12F","","1",""
"U6","","AP2112K-3.3TRG1","Diodes Incorporated","1","http://www.mouser.com/ds/2/115/AP2112-271550.pdf"
